   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,   21 45 47 ,   59 52 37,      7.680,      0.000,      0.000,        2.463,        6.170,      3.854
63              ,   19 12 07 ,   52 08 56,      8.306,      0.000,      0.000,        2.157,        6.194,      5.097
64              ,   22 06 27 ,   46 48 50,      9.171,      0.000,      0.000,        2.517,        6.195,      6.276
65              ,   19 05 18 ,   43 03 42,      9.618,      0.000,      0.000,        2.148,        6.206,      7.027
66              ,    9 12 38 ,   39 26 01,      9.934,      0.000,      0.000,        1.010,        6.229,      7.673
67              ,    4 57 39 ,   44 05 05,      9.005,      0.000,      0.000,        0.542,        6.242,      6.468
68              ,    8 36 23 ,   49 59 29,      8.213,      0.000,      0.000,        0.941,        6.220,      5.280
69              ,    4 39 17 ,   55 20 47,      7.592,      0.000,      0.000,        0.507,        6.225,      4.317
70              ,    8 36 34 ,   63 02 37,      7.039,      0.000,      0.000,        0.939,        6.204,      3.191
71              ,    4 38 59 ,   70 13 39,      6.619,      0.000,      0.000,        0.505,        6.208,      2.239
72              ,    8 34 52 ,   80 21 40,      6.341,      0.000,      0.000,        0.933,        6.182,      1.062
73              ,    4 24 37 ,   88 01 00,      6.208,      0.000,      0.000,        0.477,        6.186,      0.215
74              ,    8 48 55 ,   92 34 33,      6.244,      0.000,      0.000,        0.956,        6.164,     -0.281
75              ,    5 39 40 ,  100 29 52,      6.299,      0.000,      0.000,        0.611,        6.163,     -1.148
76              ,  350 13 10 ,   39 28 11,     10.043,      0.000,      0.000,       -1.084,        6.291,      7.753
77              ,  353 41 48 ,   41 59 35,      9.436,      0.000,      0.000,       -0.693,        6.275,      7.013
78              ,  351 16 53 ,   45 59 13,      8.822,      0.000,      0.000,       -0.962,        6.271,      6.130
79              ,  353 28 22 ,   51 54 56,      8.001,      0.000,      0.000,       -0.716,        6.257,      4.935
80              ,  350 58 32 ,   61 13 07,      7.220,      0.000,      0.000,       -0.993,        6.250,      3.476
81              ,  353 39 16 ,   67 56 10,      6.776,      0.000,      0.000,       -0.694,        6.241,      2.545
82              ,  350 54 38 ,   74 19 59,      6.560,      0.000,      0.000,       -0.998,        6.237,      1.772
83              ,  353 54 37 ,   82 36 04,      6.305,      0.000,      0.000,       -0.663,        6.217,      0.812
84              ,  350 37 11 ,   89 33 11,      6.296,      0.000,      0.000,       -1.026,        6.212,      0.049
