Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,  339 32 52 ,   47 19 39,      9.035,      0.000,      0.000,       -2.321,        6.224,      6.124
63              ,  337 48 00 ,   45 51 55,      9.375,      0.000,      0.000,       -2.542,        6.230,      6.528
64              ,  339 35 50 ,   43 26 21,      9.669,      0.000,      0.000,       -2.318,        6.231,      7.021
65              ,  349 39 06 ,   39 27 24,      9.964,      0.000,      0.000,       -1.137,        6.229,      7.693
66              ,  353 55 33 ,   44 38 03,      8.911,      0.000,      0.000,       -0.662,        6.226,      6.341
67              ,  349 34 15 ,   50 51 21,      8.143,      0.000,      0.000,       -1.143,        6.211,      5.140
68              ,  354 18 00 ,   55 44 47,      7.549,      0.000,      0.000,       -0.620,        6.209,      4.249
69              ,  349 57 47 ,   63 17 56,      7.042,      0.000,      0.000,       -1.096,        6.195,      3.164
70              ,  354 01 50 ,   71 17 03,      6.579,      0.000,      0.000,       -0.648,        6.198,      2.111
71              ,  349 55 28 ,   77 52 27,      6.429,      0.000,      0.000,       -1.100,        6.188,      1.350
72              ,  354 28 15 ,   85 07 47,      6.233,      0.000,      0.000,       -0.598,        6.182,      0.529
73              ,  349 57 09 ,   94 29 54,      6.291,      0.000,      0.000,       -1.094,        6.176,     -0.493
74              ,  353 34 25 ,  101 42 47,      6.339,      0.000,      0.000,       -0.695,        6.168,     -1.287
75              ,    4 15 34 ,  101 42 15,      6.308,      0.000,      0.000,        0.459,        6.160,     -1.280
76              ,    8 22 48 ,   92 48 27,      6.246,      0.000,      0.000,        0.909,        6.172,     -0.306
77              ,    4 33 00 ,   83 02 17,      6.245,      0.000,      0.000,        0.492,        6.179,      0.757
78              ,    8 48 21 ,   74 40 02,      6.494,      0.000,      0.000,        0.959,        6.189,      1.717
79              ,    4 46 28 ,   67 31 50,      6.730,      0.000,      0.000,        0.518,        6.198,      2.572
80              ,    8 28 40 ,   61 29 31,      7.138,      0.000,      0.000,        0.925,        6.204,      3.407
81              ,    4 17 07 ,   55 35 15,      7.553,      0.000,      0.000,        0.466,        6.214,      4.269
82              ,    8 32 12 ,   51 20 43,      8.056,      0.000,      0.000,        0.934,        6.222,      5.032
83              ,    4 47 22 ,   47 46 39,      8.442,      0.000,      0.000,        0.522,        6.230,      5.673
84              ,    8 25 42 ,   43 40 41,      9.131,      0.000,      0.000,        0.924,        6.238,      6.604
85              ,    5 19 07 ,   39 14 57,      9.914,      0.000,      0.000,        0.581,        6.246,      7.678
86              ,   19 09 04 ,   40 34 58,     10.147,      0.000,      0.000,        2.166,        6.236,      7.706
87              ,   21 59 03 ,   43 51 06,      9.684,      0.000,      0.000,        2.512,        6.221,      6.984
88              ,   19 37 55 ,   47 35 04,      8.947,      0.000,      0.000,        2.219,        6.222,      6.035
89              ,   21 49 16 ,   52 00 48,      8.493,      0.000,      0.000,        2.488,        6.214,      5.227
90              ,   19 45 50 ,   57 10 03,      7.854,      0.000,      0.000,        2.231,        6.210,      4.258
91              ,   22 31 05 ,   62 54 13,      7.536,      0.000,      0.000,        2.569,        6.197,      3.433
92              ,   19 39 04 ,   68 09 25,      7.094,      0.000,      0.000,        2.214,        6.201,      2.639
93              ,   22 20 41 ,   75 27 31,      6.908,      0.000,      0.000,        2.542,        6.185,      1.734
94              ,   19 51 19 ,   82 02 49,      6.640,      0.000,      0.000,        2.234,        6.185,      0.919
95              ,   22 25 48 ,   87 59 39,      6.679,      0.000,      0.000,        2.547,        6.170,      0.234
96              ,   19 43 11 ,   94 48 57,      6.580,      0.000,      0.000,        2.212,        6.172,     -0.552
97              ,   22 15 54 ,  101 07 13,      6.781,      0.000,      0.000,        2.521,        6.158,     -1.308
98              ,   38 57 13 ,  106 02 59,      4.967,      0.000,      0.000,        3.001,        3.712,     -1.373
99              ,   35 06 11 ,   95 22 38,      5.249,      0.000,      0.000,        3.005,        4.275,     -0.492
100             ,   38 25 16 ,   85 31 53,      4.848,      0.000,      0.000,        3.004,        3.787,      0.378
101             ,   35 16 33 ,   76 38 06,      5.360,      0.000,      0.000,        3.011,        4.257,      1.239
102             ,   38 54 06 ,   66 45 58,      5.218,      0.000,      0.000,        3.011,        3.731,      2.058
103             ,   35 14 30 ,   60 40 55,      6.029,      0.000,      0.000,        3.033,        4.293,      2.952
104             ,   38 27 38 ,   53 35 30,      6.037,      0.000,      0.000,        3.022,        3.804,      3.583
105             ,   35 54 48 ,   46 50 17,      7.108,      0.000,      0.000,        3.041,        4.199,      4.862
106             ,   38 41 08 ,   41 51 38,      7.263,      0.000,      0.000,        3.030,        3.783,      5.409
107             ,   35 11 43 ,   38 22 53,      8.528,      0.000,      0.000,        3.052,        4.327,      6.685
108             ,   37 49 37 ,   32 57 46,      9.139,      0.000,      0.000,        3.050,        3.928,      7.668
109             ,   49 29 26 ,   27 22 01,      8.621,      0.000,      0.000,        3.013,        2.574,      7.656
110             ,   54 13 40 ,   29 39 53,      7.482,      0.000,      0.000,        3.005,        2.165,      6.502
111             ,   48 58 36 ,   33 52 11,      7.153,      0.000,      0.000,        3.007,        2.616,      5.939
112             ,   54 10 25 ,   37 35 55,      6.072,      0.000,      0.000,        3.004,        2.168,      4.811
113             ,   48 41 31 ,   45 57 38,      5.562,      0.000,      0.000,        3.003,        2.639,      3.866
114             ,   53 48 31 ,   51 08 33,      4.782,      0.000,      0.000,        3.005,        2.199,      3.000
115             ,   48 39 06 ,   59 46 48,      4.625,      0.000,      0.000,        3.000,        2.640,      2.328
116             ,   54 38 15 ,   69 31 51,      3.927,      0.000,      0.000,        3.000,        2.129,      1.373
117             ,   48 17 43 ,   78 32 31,      4.089,      0.000,      0.000,        2.992,        2.666,      0.812
118             ,   53 39 40 ,   89 15 33,      3.723,      0.000,      0.000,        2.999,        2.206,      0.048
119             ,   48 58 18 ,   98 28 38,      4.013,      0.000,      0.000,        2.994,        2.605,     -0.592
120             ,   54 58 50 ,  110 39 39,      3.909,      0.000,      0.000,        2.996,        2.099,     -1.379
121             ,   70 08 12 ,  113 33 22,      3.465,      0.000,      0.000,        2.987,        1.079,     -1.385
122             ,   79 49 19 ,   97 11 07,      3.051,      0.000,      0.000,        2.979,        0.535,     -0.382
123             ,   70 23 30 ,   79 52 17,      3.226,      0.000,      0.000,        2.991,        1.066,      0.567
124             ,   79 48 15 ,   66 48 08,      3.301,      0.000,      0.000,        2.986,        0.537,      1.300
125             ,   70 12 08 ,   51 28 00,      4.073,      0.000,      0.000,        2.998,        1.079,      2.537
126             ,   79 19 52 ,   41 53 15,      4.570,      0.000,      0.000,        2.998,        0.565,      3.402
127             ,   70 29 50 ,   34 44 01,      5.584,      0.000,      0.000,        2.999,        1.062,      4.589
128             ,   79 44 37 ,   30 22 43,      6.024,      0.000,      0.000,        2.998,        0.542,      5.197
129             ,   71 40 31 ,   26 14 34,      7.143,      0.000,      0.000,        2.998,        0.993,      6.407
130             ,   79 34 35 ,   21 54 19,      8.170,      0.000,      0.000,        2.998,        0.551,      7.581
131             ,  100 31 14 ,   21 54 14,      8.188,      0.000,      0.000,        3.003,       -0.558,      7.597
132             ,  108 39 57 ,   25 36 08,      7.339,      0.000,      0.000,        3.004,       -1.015,      6.618
133             ,  100 15 19 ,   29 06 47,      6.260,      0.000,      0.000,        2.997,       -0.542,      5.469
134             ,  108 59 36 ,   34 18 15,      5.634,      0.000,      0.000,        3.002,       -1.033,      4.654
135             ,  100 18 34 ,   40 34 25,      4.681,      0.000,      0.000,        2.995,       -0.545,      3.556
136             ,  109 13 41 ,   49 35 35,      4.170,      0.000,      0.000,        2.999,       -1.046,      2.703
