  -1584.0208000000,	    6878.3529000000,	    6575.4289000000 ; 		 //plane 11 point @70 
  -2757.3943400000,	    3695.3798400000,	    6422.4633200000 ; 		 //plane 12 point @71 
  -3192.6253000000,	    -340.7140000000,	    6370.5549250000 ; 		 //plane 12 point @72 
  -2418.9819000000,	    -613.6739000000,	    7950.3654000000 ; 		 //plane 12 point @73 
  -1966.1291000000,	    3675.3068000000,	    7985.9641000000 ; 		 //plane 12 point @74 
  -2757.3943400000,	    3695.3798400000,	    6422.4633200000 ; 		 //plane 12 point @75 
  -2418.9819000000,	    -613.6739000000,	    7950.3654000000 ; 		 //plane 13 point @76 
  -3192.6253000000,	    -340.7140000000,	    6370.5549250000 ; 		 //plane 13 point @77 
  -3236.9907000000,	   -4496.3476000000,	    6314.8829000000 ; 		 //plane 13 point @78 
  -2452.3884000000,	   -4496.9178000000,	    7916.7992000000 ; 		 //plane 13 point @79 
  -2418.9819000000,	    -613.6739000000,	    7950.3654000000 ; 		 //plane 13 point @80 
