The data.txt and guide.txt are CORRECT. 
All planes of the figure were successfully generated. 
The figure were rotated to anpha = beta = 0. 
All segments belong the Figure were identified SUCCESSFULLY. 
All segments belong the Figure were identified SUCCESSFULLY. 
Position      Area(m2)          Volume(m3)
    -3      -1269        0.005869             0.000003 
    -2      -1268        0.044504             0.000028 
    -1      -1267        0.117133             0.000109 
     0      -1266        0.198071             0.000267 
     1      -1265        0.279739             0.000505 
     2      -1264        0.362136             0.000826 
     3      -1263        0.445263             0.001230 
     4      -1262        0.529119             0.001717 
     5      -1261        0.613704             0.002289 
     6      -1260        0.699018             0.002945 
     7      -1259        0.785062             0.003687 
     8      -1258        0.871834             0.004516 
     9      -1257        0.959336             0.005431 
    10      -1256        1.047568             0.006435 
    11      -1255        1.136528             0.007527 
    12      -1254        1.226218             0.008708 
    13      -1253        1.316637             0.009979 
    14      -1252        1.407786             0.011342 
    15      -1251        1.499664             0.012795 
    16      -1250        1.592270             0.014341 
    17      -1249        1.685607             0.015980 
    18      -1248        1.779672             0.017713 
    19      -1247        1.874467             0.019540 
    20      -1246        1.969991             0.021462 
    21      -1245        2.066244             0.023480 
    22      -1244        2.163227             0.025595 
    23      -1243        2.260939             0.027807 
    24      -1242        2.359380             0.030117 
    25      -1241        2.458550             0.032526 
    26      -1240        2.558450             0.035035 
    27      -1239        2.659079             0.037644 
    28      -1238        2.760437             0.040353 
    29      -1237        2.862524             0.043165 
    30      -1236        2.965341             0.046079 
    31      -1235        3.068887             0.049096 
    32      -1234        3.173162             0.052217 
    33      -1233        3.278160             0.055442 
    34      -1232        3.383710             0.058773 
    35      -1231        3.489789             0.062210 
    36      -1230        3.596397             0.065753 
    37      -1229        3.703534             0.069403 
    38      -1228        3.811200             0.073161 
    39      -1227        3.919395             0.077026 
    40      -1226        4.028119             0.081000 
    41      -1225        4.137372             0.085082 
    42      -1224        4.247154             0.089275 
    43      -1223        4.357465             0.093577 
    44      -1222        4.468306             0.097990 
    45      -1221        4.579675             0.102514 
    46      -1220        4.691574             0.107149 
    47      -1219        4.803984             0.111897 
    48      -1218        4.896188             0.116747 
    49      -1217        4.949716             0.121670 
    50      -1216        4.965054             0.126628 
    51      -1215        4.966703             0.131594 
    52      -1214        4.968352             0.136561 
    53      -1213        4.970000             0.141530 
    54      -1212        4.971649             0.146501 
    55      -1211        4.973298             0.151474 
    56      -1210        4.974946             0.156448 
    57      -1209        4.976594             0.161423 
    58      -1208        4.978243             0.166401 
    59      -1207        4.979891             0.171380 
    60      -1206        4.981539             0.176361 
    61      -1205        4.983187             0.181343 
    62      -1204        4.984835             0.186327 
    63      -1203        4.986482             0.191313 
    64      -1202        4.988130             0.196300 
    65      -1201        4.989777             0.201289 
    66      -1200        4.991425             0.206280 
    67      -1199        4.993072             0.211272 
    68      -1198        4.994720             0.216266 
    69      -1197        4.996367             0.221261 
    70      -1196        4.998014             0.226258 
    71      -1195        4.999661             0.231257 
    72      -1194        5.001308             0.236258 
    73      -1193        5.002954             0.241260 
    74      -1192        5.004601             0.246264 
    75      -1191        5.006248             0.251269 
    76      -1190        5.007894             0.256276 
    77      -1189        5.009540             0.261285 
    78      -1188        5.011187             0.266295 
    79      -1187        5.012833             0.271307 
    80      -1186        5.014479             0.276321 
    81      -1185        5.016125             0.281336 
    82      -1184        5.017771             0.286353 
    83      -1183        5.019417             0.291372 
    84      -1182        5.021062             0.296392 
    85      -1181        5.022708             0.301414 
    86      -1180        5.024354             0.306437 
    87      -1179        5.025999             0.311463 
    88      -1178        5.027644             0.316489 
    89      -1177        5.029290             0.321518 
    90      -1176        5.030935             0.326548 
    91      -1175        5.032580             0.331580 
    92      -1174        5.034225             0.336613 
    93      -1173        5.035869             0.341648 
    94      -1172        5.037514             0.346685 
    95      -1171        5.039159             0.351723 
    96      -1170        5.040803             0.356763 
    97      -1169        5.042448             0.361805 
    98      -1168        5.044092             0.366848 
    99      -1167        5.045736             0.371893 
   100      -1166        5.047381             0.376940 
   101      -1165        5.049025             0.381988 
   102      -1164        5.050669             0.387038 
   103      -1163        5.052312             0.392089 
   104      -1162        5.053956             0.397142 
