   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
79              ,   28 56 13 ,   97 55 37,      1.981,      0.000,      0.000,        0.949,        1.717,     -0.273
80              ,   36 26 24 ,  116 54 31,      2.393,      0.000,      0.000,        1.267,        1.716,     -1.083
81              ,   29 03 24 ,  126 17 47,      2.442,      0.000,      0.000,        0.956,        1.720,     -1.445
82              ,  260 25 59 ,   99 29 29,      2.967,      0.000,      0.000,       -2.886,       -0.486,     -0.489
83              ,  259 00 58 ,   84 01 55,      2.966,      0.000,      0.000,       -2.896,       -0.562,      0.308
84              ,  251 52 31 ,   69 10 34,      3.281,      0.000,      0.000,       -2.915,       -0.954,      1.166
85              ,  249 42 47 ,   60 07 00,      3.603,      0.000,      0.000,       -2.930,       -1.083,      1.795
86              ,  259 12 37 ,   60 07 07,      3.414,      0.000,      0.000,       -2.907,       -0.554,      1.701
87              ,  259 12 31 ,   51 48 05,      3.775,      0.000,      0.000,       -2.914,       -0.555,      2.334
88              ,  250 21 33 ,   49 33 58,      4.097,      0.000,      0.000,       -2.937,       -1.048,      2.657
89              ,  259 24 32 ,   43 58 28,      4.275,      0.000,      0.000,       -2.918,       -0.546,      3.077
90              ,  251 48 30 ,   38 35 47,      4.976,      0.000,      0.000,       -2.949,       -0.969,      3.889
91              ,  259 56 30 ,   32 37 46,      5.519,      0.000,      0.000,       -2.930,       -0.520,      4.648
92              ,  251 31 19 ,   29 17 22,      6.365,      0.000,      0.000,       -2.953,       -0.987,      5.551
93              ,  259 09 27 ,   25 12 48,      7.044,      0.000,      0.000,       -2.947,       -0.564,      6.373
94              ,  251 34 49 ,   22 27 17,      8.168,      0.000,      0.000,       -2.960,       -0.986,      7.549
95              ,  266 50 54 ,   26 10 18,      8.421,      0.000,      0.000,       -3.708,       -0.204,      7.557
96              ,  274 10 57 ,   26 10 34,      8.407,      0.000,      0.000,       -3.699,        0.271,      7.545
97              ,  267 03 11 ,   30 03 39,      7.399,      0.000,      0.000,       -3.701,       -0.191,      6.403
98              ,  273 24 17 ,   35 21 39,      6.377,      0.000,      0.000,       -3.684,        0.219,      5.201
99              ,  266 49 19 ,   41 43 36,      5.538,      0.000,      0.000,       -3.680,       -0.204,      4.133
100             ,  273 12 05 ,   45 52 57,      5.124,      0.000,      0.000,       -3.673,        0.205,      3.567
101             ,  266 27 37 ,   50 29 43,      4.769,      0.000,      0.000,       -3.673,       -0.227,      3.034
102             ,  273 46 14 ,   58 29 40,      4.305,      0.000,      0.000,       -3.663,        0.241,      2.250
103             ,  266 57 37 ,   70 22 48,      3.885,      0.000,      0.000,       -3.654,       -0.194,      1.305
104             ,  273 31 04 ,   80 57 04,      3.708,      0.000,      0.000,       -3.655,        0.225,      0.583
