   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
113             ,   34 02 55 ,   71 17 25,      5.012,      0.000,      0.000,        2.658,        3.934,      1.608
114             ,   37 26 32 ,   61 41 31,      4.953,      0.000,      0.000,        2.651,        3.462,      2.349
115             ,   34 25 10 ,   54 48 06,      5.770,      0.000,      0.000,        2.665,        3.890,      3.326
116             ,   36 57 39 ,   47 52 13,      5.948,      0.000,      0.000,        2.652,        3.525,      3.990
117             ,   34 06 30 ,   43 24 42,      6.933,      0.000,      0.000,        2.672,        3.945,      5.036
118             ,   36 59 32 ,   36 56 22,      7.386,      0.000,      0.000,        2.671,        3.545,      5.903
119             ,   34 46 28 ,   34 21 34,      8.315,      0.000,      0.000,        2.677,        3.855,      6.864
120             ,   37 34 32 ,   29 54 45,      8.802,      0.000,      0.000,        2.677,        3.479,      7.630
121             ,   48 23 56 ,   24 45 19,      8.481,      0.000,      0.000,        2.656,        2.358,      7.702
122             ,   54 45 59 ,   27 49 06,      6.911,      0.000,      0.000,        2.634,        1.861,      6.112
123             ,   48 19 23 ,   33 03 38,      6.501,      0.000,      0.000,        2.649,        2.358,      5.448
124             ,   54 23 28 ,   38 16 12,      5.230,      0.000,      0.000,        2.633,        1.886,      4.106
125             ,   48 23 56 ,   47 35 34,      4.781,      0.000,      0.000,        2.640,        2.344,      3.224
126             ,   53 31 33 ,   54 13 05,      4.025,      0.000,      0.000,        2.625,        1.941,      2.353
127             ,   48 38 07 ,   67 34 24,      3.795,      0.000,      0.000,        2.633,        2.318,      1.448
128             ,   54 40 09 ,   78 51 41,      3.281,      0.000,      0.000,        2.626,        1.862,      0.634
129             ,   48 29 08 ,   90 24 00,      3.508,      0.000,      0.000,        2.627,        2.325,     -0.024
130             ,   54 32 55 ,   99 53 15,      3.262,      0.000,      0.000,        2.618,        1.864,     -0.560
131             ,   48 07 10 ,  107 25 58,      3.691,      0.000,      0.000,        2.622,        2.351,     -1.106
132             ,   72 29 49 ,  112 16 52,      2.961,      0.000,      0.000,        2.613,        0.824,     -1.123
133             ,   84 45 03 ,   98 17 32,      2.657,      0.000,      0.000,        2.619,        0.241,     -0.383
134             ,   73 16 09 ,   78 50 38,      2.781,      0.000,      0.000,        2.613,        0.785,      0.538
135             ,   84 18 56 ,   63 24 38,      2.940,      0.000,      0.000,        2.616,        0.260,      1.316
136             ,   73 37 39 ,   52 14 57,      3.452,      0.000,      0.000,        2.619,        0.769,      2.113
137             ,   83 41 37 ,   41 37 23,      3.965,      0.000,      0.000,        2.617,        0.289,      2.964
138             ,   74 37 33 ,   32 38 30,      5.035,      0.000,      0.000,        2.619,        0.720,      4.240
139             ,   83 11 41 ,   26 58 42,      5.820,      0.000,      0.000,        2.622,        0.313,      5.186
140             ,   74 00 36 ,   23 57 28,      6.708,      0.000,      0.000,        2.618,        0.750,      6.130
