   Point ID     ,  Hz.(� ' "),  V.(� ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
62              ,  140 38 00 ,  128 55 26,      1.859,      0.000,      0.000,        0.918,       -1.118,     -1.168
63              ,  145 40 31 ,  126 18 03,      1.807,      0.000,      0.000,        0.821,       -1.203,     -1.070
64              ,  145 40 41 ,   92 17 35,      1.427,      0.000,      0.000,        0.804,       -1.178,     -0.057
65              ,  145 40 44 ,   70 52 11,      1.495,      0.000,      0.000,        0.796,       -1.167,      0.490
66              ,  143 51 34 ,   41 46 31,      2.132,      0.000,      0.000,        0.838,       -1.147,      1.590
67              ,  143 51 40 ,   33 04 42,      2.589,      0.000,      0.000,        0.833,       -1.141,      2.170
68              ,  160 23 18 ,   30 12 34,      2.479,      0.000,      0.000,        0.419,       -1.175,      2.143
69              ,  160 23 19 ,   39 35 51,      1.957,      0.000,      0.000,        0.419,       -1.175,      1.508
70              ,  160 23 18 ,   67 34 23,      1.370,      0.000,      0.000,        0.425,       -1.193,      0.523
71              ,  160 23 18 ,   92 02 45,      1.278,      0.000,      0.000,        0.429,       -1.203,     -0.046
72              ,  160 23 23 ,  125 51 09,      1.606,      0.000,      0.000,        0.437,       -1.226,     -0.940
73              ,  174 12 11 ,  132 11 07,      1.696,      0.000,      0.000,        0.127,       -1.250,     -1.139
74              ,  174 12 21 ,   88 55 35,      1.228,      0.000,      0.000,        0.124,       -1.222,      0.023
75              ,  174 12 14 ,   67 21 55,      1.322,      0.000,      0.000,        0.123,       -1.214,      0.509
76              ,  170 39 21 ,   45 37 46,      1.685,      0.000,      0.000,        0.196,       -1.189,      1.179
77              ,  170 39 21 ,   36 56 02,      2.005,      0.000,      0.000,        0.196,       -1.189,      1.602
78              ,  170 39 20 ,   28 23 54,      2.531,      0.000,      0.000,        0.195,       -1.188,      2.227
79              ,  195 24 44 ,   32 16 59,      2.546,      0.000,      0.000,       -0.361,       -1.311,      2.152
80              ,  195 24 42 ,   41 34 09,      1.917,      0.000,      0.000,       -0.338,       -1.226,      1.434
81              ,  195 24 33 ,   70 13 56,      1.371,      0.000,      0.000,       -0.343,       -1.244,      0.464
82              ,  195 24 32 ,   97 20 30,      1.315,      0.000,      0.000,       -0.347,       -1.257,     -0.168
83              ,  195 28 52 ,  127 30 39,      1.673,      0.000,      0.000,       -0.354,       -1.279,     -1.019
84              ,  208 14 34 ,  115 54 18,      1.625,      0.000,      0.000,       -0.692,       -1.288,     -0.710
85              ,  208 06 02 ,   94 35 55,      1.448,      0.000,      0.000,       -0.680,       -1.273,     -0.116
86              ,  208 06 03 ,   70 56 21,      1.509,      0.000,      0.000,       -0.672,       -1.258,      0.493
87              ,  208 05 58 ,   44 33 03,      2.009,      0.000,      0.000,       -0.664,       -1.243,      1.432
88              ,  208 06 01 ,   36 09 27,      2.390,      0.000,      0.000,       -0.664,       -1.244,      1.929
89              ,  208 06 03 ,   32 09 44,      2.652,      0.000,      0.000,       -0.665,       -1.245,      2.245
90              ,  225 45 43 ,   39 55 52,      2.863,      0.000,      0.000,       -1.317,       -1.282,      2.195
91              ,  225 45 35 ,   46 56 52,      2.508,      0.000,      0.000,       -1.313,       -1.278,      1.712
92              ,  225 45 21 ,   50 04 27,      2.386,      0.000,      0.000,       -1.311,       -1.277,      1.532
93              ,  220 44 00 ,   43 23 48,      2.428,      0.000,      0.000,       -1.089,       -1.264,      1.764
94              ,  223 51 33 ,   68 58 07,      1.895,      0.000,      0.000,       -1.226,       -1.275,      0.680
95              ,  219 58 04 ,   85 48 06,      1.686,      0.000,      0.000,       -1.080,       -1.288,      0.123
96              ,  212 39 27 ,  105 21 18,      1.587,      0.000,      0.000,       -0.826,       -1.289,     -0.420
97              ,  207 25 27 ,  116 50 01,      1.625,      0.000,      0.000,       -0.668,       -1.287,     -0.733
98              ,  216 53 02 ,   79 40 18,      1.623,      0.000,      0.000,       -0.959,       -1.277,      0.291
99              ,  141 42 29 ,   29 10 29,      2.677,      0.000,      0.000,        0.809,       -1.024,      2.337
100             ,  153 01 25 ,   20 07 36,      2.487,      0.000,      0.000,        0.388,       -0.763,      2.335
101             ,  164 47 02 ,   18 32 40,      2.464,      0.000,      0.000,        0.206,       -0.756,      2.336
102             ,  186 55 36 ,   24 59 22,      2.578,      0.000,      0.000,       -0.131,       -1.081,      2.337
103             ,  203 50 54 ,   19 46 13,      2.490,      0.000,      0.000,       -0.340,       -0.770,      2.343
104             ,  214 59 11 ,   29 16 10,      2.692,      0.000,      0.000,       -0.755,       -1.078,      2.348
105             ,  229 15 48 ,   29 32 35,      2.694,      0.000,      0.000,       -1.007,       -0.867,      2.344
106             ,  228 29 56 ,   37 54 15,      2.979,      0.000,      0.000,       -1.370,       -1.213,      2.350
107             ,  260 50 24 ,   29 51 31,      2.714,      0.000,      0.000,       -1.334,       -0.215,      2.353
108             ,  240 21 26 ,   25 34 19,      2.608,      0.000,      0.000,       -0.978,       -0.557,      2.353
109             ,  214 15 38 ,   15 43 09,      2.434,      0.000,      0.000,       -0.371,       -0.545,      2.343
110             ,  232 36 46 ,    6 57 19,      2.352,      0.000,      0.000,       -0.226,       -0.173,      2.335
111             ,  133 07 31 ,    5 55 04,      2.346,      0.000,      0.000,        0.177,       -0.165,      2.333
112             ,  149 10 21 ,   14 26 47,      2.412,      0.000,      0.000,        0.308,       -0.517,      2.336
113             ,  119 38 15 ,   20 33 35,      2.490,      0.000,      0.000,        0.760,       -0.432,      2.332
114             ,  100 06 26 ,   18 37 23,      2.457,      0.000,      0.000,        0.772,       -0.138,      2.328
115             ,   75 53 43 ,   18 37 20,      2.453,      0.000,      0.000,        0.760,        0.191,      2.325
116             ,   63 17 11 ,    6 22 56,      2.342,      0.000,      0.000,        0.233,        0.117,      2.328
117             ,   32 43 18 ,   14 05 09,      2.403,      0.000,      0.000,        0.316,        0.492,      2.330
118             ,   12 22 26 ,   24 04 07,      2.551,      0.000,      0.000,        0.223,        1.016,      2.329
119             ,  314 53 23 ,   29 56 25,      2.703,      0.000,      0.000,       -0.956,        0.952,      2.343
120             ,  284 59 36 ,   24 36 55,      2.577,      0.000,      0.000,       -1.037,        0.278,      2.343
121             ,  258 15 48 ,   22 50 02,      2.548,      0.000,      0.000,       -0.968,       -0.201,      2.348
122             ,  306 08 08 ,   13 21 39,      2.402,      0.000,      0.000,       -0.448,        0.327,      2.337
123             ,   19 20 48 ,   37 13 57,      2.930,      0.000,      0.000,        0.587,        1.673,      2.333
124             ,  353 34 06 ,   35 41 43,      2.881,      0.000,      0.000,       -0.188,        1.671,      2.340
125             ,  332 58 16 ,   37 05 58,      2.941,      0.000,      0.000,       -0.806,        1.581,      2.346
126             ,  318 39 03 ,   40 16 53,      3.079,      0.000,      0.000,       -1.315,        1.494,      2.349
127             ,  334 09 09 ,  128 49 53,      2.019,      0.000,      0.000,       -0.686,        1.416,     -1.266
128             ,  355 26 53 ,  130 40 31,      1.940,      0.000,      0.000,       -0.117,        1.466,     -1.264
129             ,   15 05 23 ,  128 21 56,      2.036,      0.000,      0.000,        0.416,        1.541,     -1.264
130             ,   38 02 55 ,  141 59 15,      1.603,      0.000,      0.000,        0.608,        0.777,     -1.263
131             ,  358 47 54 ,  150 56 15,      1.446,      0.000,      0.000,       -0.015,        0.702,     -1.264
132             ,  319 08 25 ,  140 43 44,      1.629,      0.000,      0.000,       -0.675,        0.780,     -1.261
133             ,  101 41 28 ,  148 22 21,      1.484,      0.000,      0.000,        0.762,       -0.158,     -1.264
134             ,  134 18 53 ,  138 45 58,      1.684,      0.000,      0.000,        0.794,       -0.775,     -1.266
135             ,  144 02 30 ,  132 26 00,      1.880,      0.000,      0.000,        0.815,       -1.123,     -1.268
136             ,  172 11 01 ,  142 06 41,      1.603,      0.000,      0.000,        0.134,       -0.976,     -1.265
137             ,  196 25 11 ,  134 06 06,      1.799,      0.000,      0.000,       -0.365,       -1.239,     -1.252
138             ,  171 32 37 ,  134 56 42,      1.788,      0.000,      0.000,        0.186,       -1.252,     -1.263
139             ,  157 07 40 ,  133 33 51,      1.838,      0.000,      0.000,        0.518,       -1.227,     -1.267
140             ,  157 07 48 ,  140 30 45,      1.642,      0.000,      0.000,        0.406,       -0.962,     -1.267
141             ,  204 47 43 ,  130 24 22,      1.677,      0.000,      0.000,       -0.536,       -1.159,     -1.087
142             ,  213 29 19 ,  115 12 36,      1.622,      0.000,      0.000,       -0.810,       -1.224,     -0.691
143             ,  218 24 50 ,  103 38 18,      1.619,      0.000,      0.000,       -0.978,       -1.233,     -0.382
144             ,  241 48 27 ,  107 01 06,      1.337,      0.000,      0.000,       -1.127,       -0.604,     -0.391
145             ,  236 48 14 ,  127 47 12,      1.364,      0.000,      0.000,       -0.902,       -0.590,     -0.835
146             ,  233 55 10 ,  142 25 00,      1.435,      0.000,      0.000,       -0.707,       -0.516,     -1.137
147             ,  260 02 19 ,  108 44 06,      1.299,      0.000,      0.000,       -1.212,       -0.213,     -0.417
148             ,  260 02 08 ,  131 07 08,      1.346,      0.000,      0.000,       -0.999,       -0.175,     -0.885
149             ,  254 10 54 ,  145 07 36,      1.422,      0.000,      0.000,       -0.782,       -0.222,     -1.167
150             ,  272 04 32 ,  105 31 54,      1.338,      0.000,      0.000,       -1.288,        0.047,     -0.358
151             ,  272 04 34 ,  121 13 17,      1.351,      0.000,      0.000,       -1.154,        0.042,     -0.700
152             ,  273 28 06 ,  139 29 43,      1.426,      0.000,      0.000,       -0.924,        0.056,     -1.084
153             ,  295 30 34 ,  103 57 17,      1.601,      0.000,      0.000,       -1.402,        0.669,     -0.386
154             ,  297 48 29 ,  116 14 02,      1.614,      0.000,      0.000,       -1.281,        0.675,     -0.714
155             ,  306 20 53 ,  132 03 52,      1.745,      0.000,      0.000,       -1.044,        0.768,     -1.169
156             ,  310 38 12 ,   94 49 43,      2.081,      0.000,      0.000,       -1.574,        1.350,     -0.175
157             ,  313 00 33 ,  105 36 01,      2.112,      0.000,      0.000,       -1.487,        1.387,     -0.568
158             ,  320 14 22 ,  118 12 47,      2.286,      0.000,      0.000,       -1.288,        1.548,     -1.081
159             ,  317 15 28 ,  108 04 51,      2.291,      0.000,      0.000,       -1.478,        1.600,     -0.711
160             ,  314 50 45 ,  100 16 50,      2.234,      0.000,      0.000,       -1.559,        1.550,     -0.399
161             ,  221 05 52 ,   96 23 28,      1.626,      0.000,      0.000,       -1.062,       -1.218,     -0.181
162             ,  223 51 18 ,   83 58 14,      1.701,      0.000,      0.000,       -1.172,       -1.220,      0.179
