   Point ID     ,  Hz.(º ' "),  V.(º ' "),Slope Dist.(m),Refl.Ht.(m),Inst.Ht.(m),Easting(m),  Northing(m),  Height(m)
126             ,  314 56 46 ,   73 16 27,      3.697,      0.000,      0.000,       -2.506,        2.501,      1.064
127             ,  309 22 00 ,   59 35 13,      3.747,      0.000,      0.000,       -2.498,        2.049,      1.897
128             ,  313 46 37 ,   49 51 02,      4.525,      0.000,      0.000,       -2.498,        2.393,      2.918
129             ,  309 21 41 ,   41 43 37,      4.846,      0.000,      0.000,       -2.494,        2.046,      3.617
130             ,  314 36 03 ,   36 38 07,      5.879,      0.000,      0.000,       -2.498,        2.463,      4.718
131             ,  309 25 03 ,   30 48 35,      6.299,      0.000,      0.000,       -2.493,        2.049,      5.410
132             ,  315 08 38 ,   27 52 10,      7.587,      0.000,      0.000,       -2.501,        2.514,      6.707
133             ,  309 51 42 ,   23 19 18,      8.200,      0.000,      0.000,       -2.492,        2.081,      7.530
134             ,  290 40 15 ,   19 03 20,      8.124,      0.000,      0.000,       -2.482,        0.936,      7.679
135             ,  280 04 47 ,   21 36 03,      6.876,      0.000,      0.000,       -2.492,        0.443,      6.393
136             ,  289 38 22 ,   24 57 34,      6.256,      0.000,      0.000,       -2.486,        0.887,      5.671
137             ,  279 55 40 ,   27 15 35,      5.525,      0.000,      0.000,       -2.493,        0.436,      4.911
138             ,  287 59 14 ,   33 11 14,      4.787,      0.000,      0.000,       -2.492,        0.809,      4.006
139             ,  279 28 41 ,   38 28 43,      4.062,      0.000,      0.000,       -2.493,        0.416,      3.180
140             ,  289 22 38 ,   46 46 40,      3.624,      0.000,      0.000,       -2.492,        0.876,      2.482
141             ,  278 41 34 ,   58 04 53,      2.970,      0.000,      0.000,       -2.492,        0.381,      1.571
142             ,  288 41 45 ,   72 27 18,      2.759,      0.000,      0.000,       -2.492,        0.843,      0.832
143             ,  278 34 31 ,   87 40 50,      2.523,      0.000,      0.000,       -2.493,        0.376,      0.102
144             ,  288 45 40 ,  103 47 30,      2.712,      0.000,      0.000,       -2.494,        0.847,     -0.647
145             ,  278 01 50 ,  115 26 55,      2.787,      0.000,      0.000,       -2.492,        0.352,     -1.198
146             ,  253 16 55 ,  115 26 46,      2.867,      0.000,      0.000,       -2.480,       -0.745,     -1.232
147             ,  244 20 15 ,  113 52 25,      3.002,      0.000,      0.000,       -2.475,       -1.189,     -1.215
148             ,  253 31 09 ,  101 01 23,      2.636,      0.000,      0.000,       -2.481,       -0.734,     -0.504
149             ,  244 18 27 ,   86 19 24,      2.754,      0.000,      0.000,       -2.477,       -1.192,      0.177
150             ,  254 28 08 ,   72 41 06,      2.697,      0.000,      0.000,       -2.481,       -0.689,      0.803
151             ,  244 33 51 ,   61 18 58,      3.129,      0.000,      0.000,       -2.479,       -1.179,      1.502
152             ,  254 48 00 ,   49 25 18,      3.384,      0.000,      0.000,       -2.480,       -0.674,      2.201
153             ,  245 23 31 ,   42 31 57,      4.043,      0.000,      0.000,       -2.485,       -1.138,      2.979
154             ,  254 44 20 ,   33 49 41,      4.624,      0.000,      0.000,       -2.484,       -0.678,      3.841
155             ,  245 30 45 ,   30 32 50,      5.379,      0.000,      0.000,       -2.488,       -1.133,      4.632
156             ,  253 36 34 ,   25 56 31,      5.928,      0.000,      0.000,       -2.488,       -0.732,      5.330
157             ,  246 08 40 ,   23 38 20,      6.793,      0.000,      0.000,       -2.491,       -1.102,      6.223
158             ,  254 06 17 ,   20 21 36,      7.438,      0.000,      0.000,       -2.489,       -0.709,      6.973
159             ,  245 31 33 ,   19 40 49,      8.132,      0.000,      0.000,       -2.493,       -1.135,      7.657
160             ,  227 30 36 ,   24 11 27,      8.242,      0.000,      0.000,       -2.491,       -2.281,      7.518
161             ,  221 44 34 ,   26 02 14,      8.530,      0.000,      0.000,       -2.493,       -2.794,      7.664
162             ,  226 37 12 ,   27 11 45,      7.473,      0.000,      0.000,       -2.482,       -2.346,      6.647
163             ,  222 19 49 ,   31 20 51,      7.112,      0.000,      0.000,       -2.492,       -2.735,      6.074
164             ,  226 51 03 ,   33 01 13,      6.232,      0.000,      0.000,       -2.478,       -2.323,      5.226
165             ,  221 50 10 ,   38 42 05,      5.946,      0.000,      0.000,       -2.480,       -2.770,      4.641
166             ,  226 04 28 ,   42 13 52,      5.102,      0.000,      0.000,       -2.470,       -2.379,      3.778
167             ,  222 11 50 ,   48 06 37,      4.960,      0.000,      0.000,       -2.480,       -2.735,      3.312
168             ,  226 17 37 ,   52 22 52,      4.313,      0.000,      0.000,       -2.470,       -2.361,      2.633
169             ,  221 22 59 ,   59 20 58,      4.345,      0.000,      0.000,       -2.471,       -2.805,      2.215
170             ,  226 34 02 ,   67 38 47,      3.672,      0.000,      0.000,       -2.466,       -2.335,      1.397
171             ,  221 45 50 ,   75 45 21,      3.828,      0.000,      0.000,       -2.472,       -2.768,      0.942
172             ,  225 41 15 ,   84 24 24,      3.463,      0.000,      0.000,       -2.466,       -2.408,      0.338
173             ,  221 29 37 ,   95 04 56,      3.726,      0.000,      0.000,       -2.459,       -2.780,     -0.330
174             ,  225 57 30 ,  109 42 07,      3.639,      0.000,      0.000,       -2.463,       -2.382,     -1.227
175             ,  221 00 12 ,  108 13 44,      3.936,      0.000,      0.000,       -2.453,       -2.822,     -1.231
176             ,  211 26 12 ,  104 44 06,      4.843,      0.000,      0.000,       -2.443,       -3.996,     -1.232
177             ,  209 05 26 ,  103 49 23,      5.160,      0.000,      0.000,       -2.436,       -4.378,     -1.233
178             ,  211 33 24 ,   98 58 57,      4.718,      0.000,      0.000,       -2.439,       -3.971,     -0.737
179             ,  209 01 45 ,   92 58 58,      5.032,      0.000,      0.000,       -2.438,       -4.394,     -0.262
180             ,  211 52 19 ,   86 02 41,      4.648,      0.000,      0.000,       -2.448,       -3.937,      0.321
181             ,  208 43 34 ,   78 42 59,      5.180,      0.000,      0.000,       -2.442,       -4.455,      1.014
182             ,  212 12 15 ,   71 11 23,      4.858,      0.000,      0.000,       -2.451,       -3.891,      1.567
183             ,  209 21 54 ,   65 21 31,      5.492,      0.000,      0.000,       -2.448,       -4.350,      2.290
184             ,  211 49 31 ,   58 53 09,      5.431,      0.000,      0.000,       -2.452,       -3.951,      2.806
185             ,  209 08 50 ,   54 23 02,      6.192,      0.000,      0.000,       -2.452,       -4.396,      3.606
186             ,  212 02 07 ,   49 02 24,      6.132,      0.000,      0.000,       -2.456,       -3.925,      4.020
187             ,  209 20 56 ,   45 44 08,      7.001,      0.000,      0.000,       -2.457,       -4.370,      4.887
188             ,  212 03 44 ,   40 12 41,      7.190,      0.000,      0.000,       -2.464,       -3.934,      5.491
189             ,  209 31 45 ,   37 39 42,      8.181,      0.000,      0.000,       -2.464,       -4.349,      6.476
190             ,  212 10 06 ,   34 04 23,      8.295,      0.000,      0.000,       -2.474,       -3.934,      6.871
191             ,  209 27 34 ,   33 04 32,      9.195,      0.000,      0.000,       -2.468,       -4.370,      7.705
192             ,  296 47 50 ,  108 42 14,      3.861,      0.000,      0.000,       -3.265,        1.649,     -1.238
193             ,  292 56 17 ,  100 08 15,      3.594,      0.000,      0.000,       -3.258,        1.379,     -0.633
194             ,  297 14 55 ,   90 27 28,      3.667,      0.000,      0.000,       -3.260,        1.679,     -0.029
195             ,  292 47 51 ,   79 06 39,      3.596,      0.000,      0.000,       -3.255,        1.368,      0.679
196             ,  296 55 15 ,   70 01 45,      3.887,      0.000,      0.000,       -3.257,        1.654,      1.327
197             ,  292 47 35 ,   57 34 19,      4.180,      0.000,      0.000,       -3.252,        1.367,      2.241
198             ,  297 45 36 ,   49 52 26,      4.812,      0.000,      0.000,       -3.256,        1.714,      3.101
199             ,  293 10 25 ,   41 32 27,      5.328,      0.000,      0.000,       -3.248,        1.390,      3.988
